#,INEP,ESCOLA,MUNICÍPIO,LOGRADOURO,CEP,Velocidade Link
63,25063359,EEEFM DESEMBARGADOR ARTHUR VIRGINIO DE MOURA,Matinhas,"AV MONS JOSE BORGES DE CARVALHO, SN - CENTRO",58128000,200Mbits
64,25083597,EEEFM MAJOR JOSE BARBOSA,Aroeiras,"RUA PADRE LEONEL FRANCA, 141 - CENTRO",58489000,200Mbits
65,25094491,EEEF FERNANDES VIEIRA,João Pessoa,"AVENIDA TANCREDO NEVES, SN - BAIRRO DOS IPES",58028840,200Mbits
66,25039040,EEEF MONSENHOR PEDRO ANISIO,Santa Luzia,"RUA BONIFACIO NOBREGA, 626 - SAO JOSE",58600000,200Mbits
67,25070703,CAIC JOSE JOFILLY,Campina Grande,"RUA JOSE MARQUES FERREIRA, 100 - MALVINAS",58432545,200Mbits
68,25091646,EEEF PE ANTONIO VIEIRA,Cabedelo,"RUA SAO PEDRO, SN - SALINAS RIBAMAR",58109482,200Mbits
69,25123203,ECI FRANCISCO MARQUES DE MELO,Damião,"RUA ROMILDO FERNANDES DE OLIVEIRA, SN - TAMBOR",58173000,200Mbits
70,25006231,EEEF JOAQUIM NABUCO,Bonito de Santa Fé,"RUA PREFEITO JOSE FERREIRA CAJU, 204 - CENTRO",58960000,200Mbits
71,25009559,EEEFM BONIFACIO SARAIVA DE MOURA,Monte Horebe,"RUA PROJETADA, SN - CENTRO",58950000,200Mbits
72,25017071,EEEF PROF NESTOR ANTUNES,Santa Cruz,"RUA JOSE VITAL DE OLIVEIRA, 61 - CENTRO",58824000,200Mbits
73,25053493,ECIT FRANCISCO DEODATO DO NASCIMENTO,São Domingos do Cariri,"AVENIDA AUGUSTO FERNANDES DE OLIVEIRA, SN - CRUZEIRO",58485000,200Mbits
74,25069357,EEEFM IVAN BICHARA SOBREIRA,Lagoa de Dentro,"RUA 7 DE SETEMBRO, 09 - CENTRO",58250000,200Mbits
75,25076582,ECI EEFM IRMA JOAQUINA SAMPAIO,Campina Grande,"BR 203 KM 8 PRACA DO AMOR, SN - SERROTAO",58436740,200Mbits
76,25077147,ECI EEFM JOANA EMILIA DA SILVA,Fagundes,"AV IRINEU BEZERRA, SN - CENTRO",58487000,200Mbits
77,25078143,EEEFM EVERALDO AGRA,Massaranduba,"AVENIDA BRASILIA- BR 230, 7558 - SANTA TEREZINHA",58120000,200Mbits
78,25080407,EEEFM JOAO RIBEIRO,Gurinhém,"RUA HUMBERTO LUCENA, SN - CENTRO",58356000,200Mbits
79,25094327,EEEF ALMIRANTE TAMANDARE,João Pessoa,"AV MATOS CARDOSO, SN - CASTELO BRANCO",58050120,200Mbits
80,25094750,ECI OLIVIO PINTO,João Pessoa,"RUA ULISSES ALVES PEQUENO, SN - VALENTINA DE FIGUEIREDO",58064580,200Mbits
81,25127659,ECI PEDRO HENRIQUE DA SILVA,Cuité,"SITIO SERRA DO BOMBOCADINHO, SN - ZONA RURAL",58175000,200Mbits
82,25018272,EEEFM PROF DIONE DINIZ OLIVEIRA DIAS,Sousa,"NUCLEO HABITACIONAL II, SN - AREA RURAL",58814500,200Mbits
