#,INEP,ESCOLA,MUNICÍPIO,LOGRADOURO,CEP,Velocidade Link
366,25094122,CPM ESTUDANTE REBECA CRISTINA ALVES SIMOES,João Pessoa,"RUA MARIA ALVES DA SILVA, 00 - MANGABEIRA",58058400,200Mbits
367,25006223,ECI EEM MONSENHOR MORAIS,Bonito de Santa Fé,"RUA APRIGIO PEREIRA DA SILVA, 01 - ALTO DA BOA VISTA",58960000,200Mbits
368,25017080,ECI EEFM VALDEMIRO WANDERLEY DE OLIVEIRA,Santa Cruz,"CONJUNTO MAURICIO GOMES, SN - SAO FRANCISCO",58824000,200Mbits
369,25018639,EEEF DR THOMAZ PIRES,Sousa,"RUA RAIMUNDO PEREIRA DE OLIVEIRA, SN - JARDIM SORRILANDIA I",58805150,200Mbits
370,25051296,EEE FUNDAMENTAL E MEDIO MELQUIADES TEJO,Barra de São Miguel,"RUA TENENTE PEDROSA, 161 - CENTRO",58483000,200Mbits
371,25062638,EEEFM PADRE HILDON BANDEIRA,Alagoa Grande,"RUA PRESIDENTE JOAO PESSOA, 1485 - CENTRO",58388000,200Mbits
372,25094173,EEEFM E EJA PADRE MIGUELINHO,João Pessoa,"AVENIDA DA FRATERNIDADE, SN - CRISTO REDENTOR",58070310,200Mbits
373,25094351,EEEF ANTONIO PESSOA,João Pessoa,"RUA BEAUREPAIRE ROHAN, 149 - CENTRO",58010000,200Mbits
374,25002422,ECI EEFM FRANCISCO MAIA,Jericó,"RUA JOSE MESQUITA, 112 - CENTRO",58830000,200Mbits
375,25058371,EEEFM E EJA PADRE JOSE ANTONIO MARIA IBIAPINA,Soledade,"RUA JOSE CHAGAS DE BRITO, 02 - CENTRO",58155000,200Mbits
376,25078135,ECI EEFM MARIA ZECA SOUZA,Massaranduba,"RUA VEREADOR ADERBAL GOMES DA SILVA, SN - CENTRO",58120000,200Mbits
377,25078550,ECI PLINIO LEMOS,Puxinanã,"RUA COSTA E SILVA, - CENTRO",58115000,200Mbits
378,25094726,ECI EEFM PROFESSOR CELESTIN MALZAC,João Pessoa,"RUA PROFESSORA MARIA ZENAIDE BRASILINO, SN - VALENTINA",58063320,200Mbits
379,25113810,EEEFM ISAURA FERNANDES DE SOUZA,Itapororoca,"RUA PROJETADA, SN - EPITACIO MADRUGA",58275000,200Mbits
380,25114433,EEEFM SENADOR HUMBERTO LUCENA,Campina Grande,"RUA MARCELINO PEREIRA DA COSTA, SN - NOVO CRUZEIRO",58415483,200Mbits
381,25094556,EEEF ISABEL MARIA DAS NEVES,João Pessoa,"AV JOAO MACHADO, 484 - CENTRO",58013520,200Mbits
382,25000640,ECI JOSE OLIMPIO MAIA,Brejo do Cruz,"RUA HORACIO PIMENTA, 225 - CENTRO",58890000,200Mbits
383,25043277,ECI PROFESSOR LORDAO,Picuí,"RUA PROJETADA, SN - CENECISTA",58187000,200Mbits
384,25099175,ECIT MARIA HONORINA SANTIAGO,Santa Rita,"RUA PROFESSOR SEVERO RODRIGUES, SN - POPULAR",58301000,200Mbits
385,25020927,ECI AUZENIR LACERDA,Patos,"RUA LUIS JOSE, SN - JARDIM LACERDA",58704030,200Mbits
386,25001825,ESC AGROTECNICA DO CAJUEIRO CAMPUS IV - UEPB,Catolé do Rocha,"SITIO CAJUEIRO, S/N - ZONA RURAL",58884000,200Mbits
387,25093827,EEEF CLAUDINA MANGUEIRA DE MOURA,João Pessoa,"R CARTEIRO FRANCISCO INACIO DO REGO FILHO, 43 - ALTO DO MATEUS",58090570,200Mbits
388,25094459,EEEF DR OTAVIO NOVAIS,João Pessoa,"AVENIDA SANTOS STANISLAU, 1255 - NOVAIS",58088540,200Mbits
389,25012185,EEEF ANTONIO FRANCISCO DUARTE,Triunfo,"AV JOSE DUARTE DE SA, 89 - CENTRO",58920000,200Mbits
390,25035444,EEEF PROFESSORA ANTONIA DINIZ MAIA,Manaíra,"PRACA JOAQUIM SIMAO, 06 - CENTRO",58995000,200Mbits
391,25099230,EEEF JOAO URSULO,Santa Rita,"PRACA JOAO PESSOA, 02 - CENTRO",58300140,200Mbits
392,25015869,ECITEEFM MONSENHOR VICENTE FREITAS,Pombal,"RUA PROFESSOR LUIZ FERREIRA CAMPOS, 309 - JARDIM ROGERIO",58840000,200Mbits
393,25037226,ECI ADRIANO FEITOSA,Tavares,"RUA SEVERINO CARLOS DE ANDRADE, 489 - CENTRO",58753000,200Mbits
394,25072161,EEEF NOSSA SENHORA DO ROSARIO,Campina Grande,"RUA NILO PECANHA, 250 - PRATA",58400515,200Mbits
395,25103563,EEEFM PROFESSOR JOSE GOMES ALVES,Patos,"DONATO LOCIO, SN - JATOBA",58707380,200Mbits
396,25014951,EEEFM FRANCISCO AUGUSTO CAMPOS,Nazarezinho,"RUA HERCULANO VIEIRA, SN - FRANCISCO MENDES CAMPOS",58817000,200Mbits
397,25072226,EEEF DE APLICACAO,Campina Grande,"AVENIDA PREFEITO SEVERINO BEZERRA CABRAL, SN - CATOLE",58410185,200Mbits
398,25089838,ECI EEFM RIACHAO DO POCO,Riachão do Poço,"RUA JOAO FERREIRA ALVES, SN - CENTRO",58348000,200Mbits
399,25092839,CEEEA SESQUICENTENARIO,João Pessoa,"RUA MANOEL FRANCA, SN - CONJUNTO PEDRO GONDIM",58031160,200Mbits
400,25004883,ECIT CORONEL JACOB GUILHERME FRANTZ,São João do Rio do Peixe,"RUA PADRE JOAQUIM CIRILO DE SA, 95 - CENTRO",58910000,200Mbits
401,25045059,ECI JOAO LELYS,Livramento,"RUA PRESIDENTE JOAO PESSOA, 54 - CENTRO",58690000,200Mbits
402,25050427,ECI EEM JOAO ROGERIO DIAS TOLEDO,Assunção,"RUA CANDIDO PEREIRA BRITO, SN - CONJUNTO HABITACIONAL JOSE DE ASSIS PIMENTA",58685000,200Mbits
403,25061402,EEEFM FRANCISCO A SILVA,Areial,"FRANCISCO SEBASTIAO PEREIRA, 78 - CENTRO",58140000,200Mbits
404,25087673,ECI HENRIQUE FERNANDES DE FARIAS,Curral de Cima,"TRAVESSA OLEGARIO FERNANDES, 397 - CENTRO",58291000,200Mbits
405,25094190,ECIT JOAO GOULART,João Pessoa,"RUA CONEGO FRANCISCO, SN - CASTELO BRANCO III",58050690,200Mbits
406,25018132,EEEF BENTO FREIRE,Sousa,"RUA JOAQUIM PINTO NETO, 02 - ESTACAO",58807275,200Mbits
407,25054767,EEEFM E EJA ANESIO DEODONIO MORENO,Arara,"RUA HERMES LIRA, 154 - CENTRO",58396000,200Mbits
408,25072374,EEEF MARIA EMILIA OLIVEIRA DE ALMEIDA,Campina Grande,"RUA DR FRANCISCO BRASILEIRO, SN - PRESIDENTE MEDICI",58417455,200Mbits
409,25056620,ECI EEFM JOSE ROLDERICK DE OLIVEIRA,Nova Floresta,"RUA DAMIAO PEDRO DE LIMA- S N- NOVA FLORESTA PB, S/N - SILVESTRE GARCIA",58178000,200Mbits
410,25069373,EEEF GETULIO VARGAS,Lagoa de Dentro,"RUA DO COMERCIO, 55 - CENTRO",58250000,200Mbits
411,25069675,ECI EEFM MAJOR ANTONIO DE AQUINO,Mulungu,"ESTRADA DE ACESSO A ALAGOINHA, SN - CENTRO",58354000,200Mbits
412,25087304,ECI EEM JOSE WILSON DE ALBUQUERQUE MELO,Capim,"CONJUNTO BELA VISTA, SN - CENTRO",58287000,200Mbits
413,25090933,EEEF ALVARO DE CARVALHO,Bayeux,"RUA JOAQUIM FERNANDES, - CENTRO",58110097,200Mbits
414,25004875,ENE MIN JOSE AMERICO DE ALMEIDA,São João do Rio do Peixe,"RUA VIDAL DE NEGREIROS, 134 - CENTRO",58910000,200Mbits
415,25004875,ENE MIN JOSE AMERICO DE ALMEIDA,São João do Rio do Peixe,"RUA VIDAL DE NEGREIROS, 134 - CENTRO",58910000,200Mbits
416,25062069,ECI MARIA JOSE DE SOUZA,Montadas,"RUA JOSE VERISSIMO DE SOUZA, 197 - CENTRO",58145000,200Mbits
417,25087860,ECI LUIZ GONZAGA BURITY,Rio Tinto,"PRACA DA VITORIA, SN - CENTRO",58297000,200Mbits
418,25094050,ECIT LUIZ GONZAGA DE ALBUQUERQUE BURITY,João Pessoa,"AVENIDA MONSENHOR WALFREDO LEAL, 440 - TAMBIA",58020540,200Mbits
419,25126180,ECI LINDUARTE NORONHA,João Pessoa,"RUA ANTONIO FERNANDES, SN - GRAMAME",58069325,200Mbits
420,25084950,ECIT PRESIDENTE JOAO PESSOA,Umbuzeiro,"RUA EPITACIO PESSOA, 141 - CENTRO",58497000,200Mbits
421,25128418,ECI HELINTON SANTANA,Santa Rita,"RUA VEREADOR MAILTON WELLINGTON, SN - NOVA TRINDADE",58300970,200Mbits
422,25007840,EEEF MONSENHOR JOAO MILANES,Cajazeiras,"PRACA DOM ADAUTO, SN - CENTRO",58900000,200Mbits
423,25037803,ECIT SEBASTIAO GUEDES DA SILVA,Teixeira,"RUA CONEGO SERRAO, 21 - CENTRO",58735000,200Mbits
424,25090909,ECI IRINEU PINTO,Bayeux,"AVENIDA JOAO XXIII, 81 - SESI",58111320,200Mbits
425,25012959,EEEF ERNANI SATIRO,Uiraúna,"RUA BRASILIANO VIEIRA, 34 - ALTO BELA VISTA",58915000,200Mbits
426,25018124,EEEF BATISTA LEITE,Sousa,"RUA LUIS PEREIRA DA SILVA, 22 - CENTRO",58800040,200Mbits
427,25090941,EEEF ANITA GARIBALDI,Bayeux,"RUA PADRE FEIJO, 253 - TAMBAI",58110618,200Mbits
428,25114034,EEEF DOM HELDER CAMARA,Campina Grande,"RUA LICIONEIA MARIA DA CONCEICAO, 125 - SANTA ROSA",58417020,200Mbits
429,25018256,EEEF DE DEMONSTRACAO DE SOUSA,Sousa,"RUA JOSE DE PAIVA GADELHA, 141 - GATO PRETO",58802085,200Mbits
430,25082493,ECIT OTAVIA SILVEIRA,Mogeiro,"RUA ANTONIO DE ANDRADE SOBRINHO, SN - CENTRO",58375000,200Mbits
431,25072021,EEEFM SEN ARGEMIRO DE FIGUEIREDO,Campina Grande,"AV ELPIDIO DE ALMEIDA, 25 - CATOLE",58410215,200Mbits
432,25005995,ECI PROFESSORA FRANCISCA FONSECA MATIAS,Poço de José de Moura,"AVENIDA FREI DAMIAO, SN - POPULARES",58908000,200Mbits
433,25037781,EEEFM ANTONIO MOACIR DANTAS CAVALCANTI,Maturéia,"AVENIDA JOSE JERONIMO, 282 - CENTRO",58737000,200Mbits
434,25020854,ECI DOUTOR DIONISIO DA COSTA,Patos,"RUA FRANCISCO PONTES, SN - SALGADINHO",58706520,200Mbits
435,25084445,EEEFM JOAO DA SILVA MONTEIRO,Gado Bravo,"RUA JOSE PEREIRA DE AGUIAR, SN - CENTRO",58492000,200Mbits
436,25090887,ECIT PROFESSOR ANTONIO GOMES,Bayeux,"RUA PROFESSOR ANTONIO GOMES, 60 - MARIO ANDREAZZA",58112278,200Mbits
437,25094580,EEEF JOSE DE ALENCAR,João Pessoa,"RUA JOSE FERNANDES DINIZ, SN - OITIZEIRO",58087314,200Mbits
438,25003844,EEEFM JOAO SILVEIRA GUIMARAES,São Bento,"RUA SAO JUDAS TADEU, 53 - SAO JOSE",58865000,200Mbits
439,25068644,EEEF ANTENOR NAVARRO,Guarabira,"RUA PREFEITO MANOEL LORDAO, 161 - CENTRO",58200000,200Mbits
440,25087355,ECI EEM PROFESSOR RENATO FONSECA FILHO,Cuité de Mamanguape,"AVENIDA SEVERINO JORGE DE SENA, 980 - ",58289000,200Mbits
441,25089013,ECI JOSE PAULO DE FRANCA,Mari,"RUA LIDIO GALVAO, 76 - CENTRO",58345000,200Mbits
442,25096702,ECIT MARIA DO CARMO DE MIRANDA,João Pessoa,"RUA JOAO LUIZ RIBEIRO DE MORAIS, 279 - CENTRO",58013230,200Mbits
443,25126415,EEEFM TEREZA ALVES DE MOURA,Queimadas,"DISTRITO DE LIGEIRO, SN - ZONA RURAL",58475000,200Mbits
444,25049496,ECITE JOSE GONCALVES DE QUEIROZ,Sumé,"RUA PROFESSORA GUIOMAR COELHO, 201 - PEDREGAL",58540000,200Mbits
445,25093932,ECIT DAURA SANTIAGO RANGEL,João Pessoa,"RUA BENICIO DE OLIVEIRA LIMA, SN - JOSE AMERICO",58073030,200Mbits
446,25122533,ECI EEFM DOUTOR GUSTAVO FERNANDES DE LIMA SOBRINHO,Mamanguape,"RUA BENEDITO JOEL CORDEIRO, SN - AREAL",58280000,200Mbits
447,25091638,ECI IMACULADA CONCEICAO,Cabedelo,"RUA MARIZEIRO, SN - PORTAL DO POCO",58106106,200Mbits
448,25093843,ECI CONEGO FRANCISCO GOMES DE LIMA,João Pessoa,"RUA PETRONIO DE FIGUEIREDO, SN - GEISEL",58075410,200Mbits
449,25094106,ECI LUZIA SIMOES BARTOLLINI,João Pessoa,"RUA RADIALISTA GERALDO CAMPOS, SEM NUMERO - JARDIM PLANALTO",58088060,200Mbits
450,25015893,EEEFM ARRUDA CAMARA,Pombal,"MARGEM DA BR-230, SN - JARDIM ROGERIO",58840000,200Mbits
451,25036300,EEEFN GAMA E MELO,Princesa Isabel,"AVENIDA PRESIDENTE JOAO PESSOA, 460 - CENTRO",58755000,200Mbits
452,25091603,EEEFM PEDRO AMERICO,Cabedelo,"RUA PASTOR JOSE ALVES DE OLIVEIRA, 76 - CENTRO",58100222,200Mbits
453,25094777,EEEFM PROF DEBORA DUARTE,João Pessoa,"RUA ADRISIO MOTA DE SOUZA, 34 - FUNCIONARIOS II",58078030,200Mbits
454,25099256,ECI EEFM MARIA DE LOURDES ARAUJO,Santa Rita,"AV JOAO PESSOA, 188 - TIBIRI II",58302000,200Mbits
455,25007785,ECIT CRISTIANO CARTAXO,Cajazeiras,"AV JULIO MARQUES DO NASCIMENTO, 915 - JARDIM OASIS",58900000,200Mbits
456,25083490,ECI DEPUTADO CARLOS PESSOA FILHO,Aroeiras,"RUA TEREZA BARBOSA DE MOURA, 518 - CENTRO",58489000,200Mbits
457,25114506,EEEFM PROF JOSE BAPTISTA DE MELLO,João Pessoa,"RUA ADMINISTRADOR MANOEL ANGELO DE OLIVEIRA, SN - MANGABEIRA VII",58058200,200Mbits
458,25072242,EEEFM JOSE PINHEIRO,Campina Grande,"PRACA JOANA D ARC FERREIRA DE ARRUDA, 937 - JOSE PINHEIRO",58407382,200Mbits
459,25072129,EEEFM SAO SEBASTIAO,Campina Grande,"RUA ESTELITA CRUZ, 307 - ALTO BRANCO",58401470,200Mbits
460,25050486,EEEFM FELIX DALTRO,Taperoá,"PRACA JOAO PESSOA, 200 - CENTRO",58680000,200Mbits
461,25090879,EEEFM ENG JOSE DAVILA LINS,Bayeux,"RUA ENGENHEIRO DE CARVALHO, SN - CENTRO",58110020,200Mbits
462,25062670,EEEF DE DEMONSTRACAO ALAGOA GRANDE,Alagoa Grande,"RUA RUI BARBOSA, SN - CENTRO",58388000,200Mbits
463,25092871,CENTRO PROFIS DEP ANTONIO CABRAL,João Pessoa,"AVENIDA AVELINA DOS SANTOS, SN - VALENTINA DE FIGUEIREDO",58064550,200Mbits
464,25094793,EEEFM SANTOS DUMONT,João Pessoa,"RUA DAS INDUSTRIAS, SN - DAS INDUSTRIAS",58083050,200Mbits
465,25033204,ECI EEM JOSE NOMINANDO,Água Branca,"RUA JOSE PEDRO FIRMINO, 41 - CENTRO",58748000,200Mbits
466,25039032,ECI PADRE JERONIMO LAUWEN,Santa Luzia,"RUA DOM QUINTINO, SN - SAO JOSE",58600000,200Mbits
467,25057146,ECI EEM ANTONIO GALDINO FILHO,Pocinhos,"RUA - JOSE JOAQUIM DO NASCIMENTO, S N - IVO BENICIO",58150000,200Mbits
468,25094696,ECI PADRE IBIAPINA,João Pessoa,"RUA VISCONDE DE OURO PRETO, SN - MANDACARU",58027641,200Mbits
469,25081403,ECIT DE ITABAIANA DOUTOR ANTONIO BATISTA SANTIAGO,Itabaiana,"AVENIDA PREFEITO ANTONIO BATISTA SANTIAGO, 416 - CENTRO",58360000,200Mbits
470,25072315,EEEF SANTO ANTONIO,Campina Grande,"RUA FRANCISCO ANTONIO DO NASCIMENTO, 1078 - CASTELO BRANCO",58406180,200Mbits
471,25094653,EEEM PROF ORLANDO CAVALCANTI GOMES,João Pessoa,"AVENIDA NEREU RAMOS, SN - CRISTO REDENTOR",58070440,200Mbits
472,25076400,EEEFM PROF ANTONIO OLIVEIRA,Campina Grande,"RUA ALBERTO SANTOS, SN - SANTA ROSA",58416690,200Mbits
473,25086901,ECI RUI CARNEIRO,Mamanguape,"AVENIDA SENADOR RUI CARNEIRO, 55 - CAMPO",58280000,200Mbits
474,25094025,ECI EEFM TENENTE LUCENA,João Pessoa,"RUA MARIA ESTER BEZERRA MESQUITA, 300 - DOS IPES",58028700,200Mbits
475,25094211,ECIT JOSE DO PATROCINIO,João Pessoa,"RUA ANTONIO CORREIA DA COSTA, SN - FUNCIONARIOS",58078590,200Mbits
476,25099205,EEEF PREFEITO ANTONIO TEIXEIRA,Santa Rita,"AVENIDA FLAVIO RIBEIRO COUTINHO, 488 - CENTRO",58300220,200Mbits
477,25009923,EEEFM PROF JOSE BENTO,Santa Helena,"RUA JOSIAS FRANCISCO DINIZ, 208 - CENTRO",58925000,200Mbits
478,25036343,EEEFM MINISTRO ALCIDES VIEIRA CARNEIRO,Princesa Isabel,"PRACA DR JOSE NOMINANDO DINIZ, 52 - CENTRO",58755000,200Mbits
479,25130153,ECIT LYNALDO CAVALCANTI DE ALBUQUERQUE,Patos,"RUA MANOEL MOTA, - MUTIRAO",58707430,200Mbits
480,25036335,ECI NOSSA SENHORA DO BOM CONSELHO,Princesa Isabel,"RUA PSICOLOGA SIMONE PEREIRA, 36 - CONJUNTO ALOYSIO PEREIRA",58755000,200Mbits
481,25092111,EEEFM PROF JOAO DA CUNHA VINAGRE,Conde,"RODOVIA PB 18 KM 3-5, SN - CENTRO",58322000,200Mbits
482,25057839,EEEFM DR CUNHA LIMA,Remígio,"RUA IDELFONSO JARDELINO DA COSTA- 75, - CENTRO",58398000,200Mbits
483,25007092,ECI EEFM PROFESSOR ADALBERTO DE SOUSA OLIVEIRA,Cachoeira dos Índios,"RUA SERGIO MOREIRA, 45 - CENTRO",58935000,200Mbits
484,25117700,EEEFM SEVERINO BARBOSA CAMELO,Boqueirão,"RUA JOSE RICARTE IRMAO, SN - MALVINAS",58450000,200Mbits
485,25094041,EEEF PROFA ARGENTINA PEREIRA GOMES,João Pessoa,"AVENIDA CAMILO DE HOLANDA, SN - CENTRO",58013360,200Mbits
486,25001833,ECI OBDULIA DANTAS,Catolé do Rocha,"AVENIDA VENANCIO NEIVA, 804 - CENTRO",58884000,200Mbits
487,25061720,ECI ESPERANCA MONSENHOR JOSE DA SILVA COUTINHO,Esperança,"RUA FLORIANO PEIXOTO, SN - CENTRO",58135000,200Mbits
488,25095056,ECIT PREFEITO OSWALDO PESSOA,João Pessoa,"RUA PROFESSOR JOSE HOLMES, SN - ERNANI SATIRO",58080400,200Mbits
489,25089820,EEEFM GENTIL LINS,Sapé,"AV SIMPLICIO COELHO, 97 - CENTRO",58340000,200Mbits
490,25099248,EEEF MACHADO DE ASSIS,Santa Rita,"RUA INGA, SN - MUNICIPIOS",58302355,200Mbits
491,25129279,ECIT JORNALISTA JOSE ITAMAR DA ROCHA CANDIDO,Cuité,"BR 104 KM 06, SN - ZONA RURAL",58175000,200Mbits
492,25093959,ECIT OLIVINA OLIVIA CARNEIRO DA CUNHA,João Pessoa,"AV DUARTE DA SILVEIRA, 450 - CENTRO",58013280,200Mbits
493,25129287,ESCOLA CIDADA INTEGRAL TECNICA ESTADUAL DE SAO BENTO,São Bento,"AV PREFEITO PEDRO EULAMPIO DA SILVA, SN - SAO BENTINHO",58865000,200Mbits
494,25094130,ECI HORACIO DE ALMEIDA,João Pessoa,"RUA DURVAL COUTINHO, SN - ALTO DO MATEUS",58090260,200Mbits
495,25129325,EEEFM ARIANO VILAR SUASSUNA,Cajazeiras,"SITIO ZE DIAS, SN - ZONA RURAL",58900000,200Mbits
496,25130242,ECIT ESTADUAL CHIQUINHO CARTAXO,Sousa,"RUA LEOPOLDO JOSE DE MELO, SN - JARDINS",58802370,200Mbits
497,25091549,ECI JOSE GUEDES CAVALCANTE,Cabedelo,"R MUNICIPALISTA PEDRO DA SILVA COUTINHO, 120 - CAMALAU",58103077,200Mbits
498,25063340,ECIT MONSENHOR JOSE BORGES DE CARVALHO,Alagoa Nova,"RUA MARIA LIMA MARACAJA, 85 - CENTRO",58125000,200Mbits
499,25099116,ECIT PROFESSOR LUIS DE AZEVEDO SOARES,Santa Rita,"AVENIDA CAMPINA GRANDE, 3188 - MUNICIPIOS",58302195,200Mbits
500,25127594,ECIT BAYEUX ERENICE CAVALCANTE FIDELIS,Bayeux,"AVENIDA LIBERDADE, 3015 - SESI",58111400,200Mbits
501,25020935,ECI MONSENHOR MANOEL VIEIRA,Patos,"PRACA EDVALDO MOTTA, - CENTRO",58700590,200Mbits
502,25078992,ECIT FRANCISCO ERNESTO DO REGO,Queimadas,"AV SEVERINO BEZERRA CABRAL, SN - CENTRO",58475000,200Mbits
503,25129295,ECIT PROFESSORA NICEA CLAUDINO PINHEIRO,Cajazeiras,"RODOVIA GOVERNADOR ANTONIO MARIZ - BR 230 KM 506, SN - CAPOEIRAS SUL",58900000,200Mbits
504,25072420,ECIT ELPIDIO DE ALMEIDA,Campina Grande,"R DUQUE DE CAXIAS, 235 - PRATA",58400506,200Mbits
505,25099507,ENEEFM ANISIO PEREIRA BORGES,Santa Rita,"RUA JOSE DE ALENCAR, SN - TIBIRI FABRICA",58300590,200Mbits
506,25100459,EEEF ALBERTO LUNDGREN,Caaporã,"RUA PROJETADA, SN - CONJUNTO PEREIRAO",58326000,200Mbits
507,25064169,EEEF MONS JOAO COUTINHO,Areia,"RUA MANOEL DA SILVA, 374 - CENTRO",58397000,200Mbits
508,25087878,EEIEFM GUILHERME DA SILVEIRA,Rio Tinto,"AVENIDA RIO BRANCO, 5466 - VILA REGINA",58297000,200Mbits
509,25099159,ECIT ENEAS CARVALHO,Santa Rita,"AVENIDA FLAVIO RIBEIRO COUTINHO, 440 - CENTRO",58300220,200Mbits
510,25099299,EEEFM CARLOS CHAGAS,Santa Rita,"AV CAMPINA GRANDE, SN - MUNICIPIOS",58302195,200Mbits
511,25128337,ECIT JOAO PEREIRA GOMES FILHO,João Pessoa,"AVENIDA HILTON SOUTO MAIOR, SN - PORTAL DO SOL",58055018,200Mbits
512,25123319,EEEF MANOEL BARBOSA DE LUCENA,Alagoa Grande,"VILA DO CRUZEIRO, 98 - CENTRO",58388000,200Mbits
513,25117521,EEEFM PROF GETULIO CESAR RODRIGUES GUEDES,Pedras de Fogo,"RUA JOSE PEREIRA DA SILVA, SN - MANGUEIRA",58328000,200Mbits
514,25089781,ECI MONSENHOR ODILON ALVES PEDROSA,Sapé,"RUA PADRE ZEFERINO MARIA, 375 - CENTRO",58340000,300Mbits
515,25089773,EEEF STELLA DA CUNHA SANTOS,Sapé,"AV DR NAPOLEAO LAURERANO, 368 - CENTRO",58340000,300Mbits
516,25098357,ECI LYCEU PARAIBANO,João Pessoa,"AVENIDA GETULIO VARGAS, SN - CENTRO",58013240,300Mbits
517,25045377,ECIT JOSE LEITE DE SOUSA,Monteiro,"RUA WAGNER AUGUSTO BEZERRA JAPYASSU, 426 - CENTRO",58500000,300Mbits
518,25097725,INSTITUTO DE EDUCACAO DA PARAIBA IEP,João Pessoa,"AV CAMILO DE HOLANDA, SN - CENTRO",58013360,300Mbits
519,25130331,ECIT PROFESSOR BRAULIO MAIA JUNIOR,Campina Grande,"RUA TRANQUILINO COELHO LEMOS, SN - DINAMERICA",58432300,300Mbits
520,25100041,EEEFM BARAO DO ABIAI,Alhandra,"AV PRESIDENTE JOAO PESSOA, 365 - CENTRO",58320000,300Mbits
521,25126350,ESCOLA TECNICA ESTADUAL DE SAUDE PROFESSORA CLORIS TORRES DE OLIVEIRA,Sapé,"RUA GENIVAL DA SILVA TORRES, SN - CENTRO",58340000,300Mbits
522,25104071,NUCLEO DE EDUCACAO DE JOVENS E ADULTOS DO ENSINO MEDIO,João Pessoa,"CIDADE UNIVERSITARIA, - ",58051900,300Mbits
523,25094181,ECI PAPA PAULO VI,João Pessoa,"AV JOSE TAVARES, SN - CRUZ DAS ARMAS",58085730,300Mbits
524,25080016,EEEFM DOM ADAUTO,Serra Redonda,"AVENIDA MIGUEL VERISSIMO DA SILVA, SN - CONJUNTO ANTONIO MARIZ II",58385000,300Mbits
525,25088971,EEEF LUIZ MARIA DE FRANCA,Mari,"RUA MANOEL GOMES FILHO, SN - SILVINO COSTA",58345000,300Mbits
526,25094203,ECIT DOM JOSE MARIA PIRES,João Pessoa,"RUA DAS ROSAS, SN - B DAS INDUSTRIAS",58083332,300Mbits
527,25036297,EEEIF PROFESSORA IRACEMA MARQUES DE LIMA,Princesa Isabel,"RUA SOLON DE LUCENA, 0 - CENTRO",58755000,300Mbits
